ID,Quarter,Rating
400,1,15
400,2,15
400,3,13
400,4,24
461,1,14
461,2,17
461,3,25
461,4,18
195,1,11
195,2,15
195,3,22
195,4,22
449,1,6
449,2,25
449,3,23
449,4,27
454,1,5
454,2,15
454,3,21
454,4,26
142,1,18
142,2,19
142,3,20
142,4,22
357,1,14
357,2,21
357,3,19
357,4,24
197,1,14
197,2,13
197,3,13
197,4,15
464,1,16
464,2,15
464,3,25
464,4,24
167,1,16
167,2,14
167,3,18
167,4,29
246,1,16
246,2,13
246,3,17
246,4,25
404,1,6
404,2,24
404,3,14
404,4,16
232,1,2
232,2,16
232,3,29
232,4,16
318,1,10
318,2,13
318,3,19
318,4,30
414,1,8
414,2,16
414,3,24
414,4,27
280,1,9
280,2,16
280,3,19
280,4,28
111,1,11
111,2,20
111,3,28
111,4,15
325,1,14
325,2,23
325,3,18
325,4,24
186,1,2
186,2,15
186,3,30
186,4,25
161,1,2
161,2,23
161,3,30
161,4,27
311,1,20
311,2,13
311,3,24
311,4,22
123,1,16
123,2,21
123,3,17
123,4,17
130,1,4
130,2,17
130,3,17
130,4,16
154,1,1
154,2,18
154,3,16
154,4,23
482,1,19
482,2,18
482,3,30
482,4,22
131,1,13
131,2,25
131,3,18
131,4,25
339,1,18
339,2,21
339,3,22
339,4,16
237,1,6
237,2,15
237,3,26
237,4,16
307,1,1
307,2,23
307,3,25
307,4,21
442,1,14
442,2,24
442,3,25
442,4,23
359,1,16
359,2,24
359,3,24
359,4,18
147,1,14
147,2,17
147,3,25
147,4,18
321,1,17
321,2,23
321,3,15
321,4,25
209,1,13
209,2,17
209,3,15
209,4,16
315,1,12
315,2,21
315,3,28
315,4,19
136,1,2
136,2,13
136,3,25
136,4,26
143,1,9
143,2,16
143,3,16
143,4,29
227,1,16
227,2,15
227,3,19
227,4,19
245,1,1
245,2,22
245,3,15
245,4,29
113,1,18
113,2,16
113,3,12
113,4,16
462,1,9
462,2,17
462,3,13
462,4,23
251,1,2
251,2,14
251,3,12
251,4,23
470,1,8
